Temperature_K,Pressure_bar,Particle_Size_um,Material,Material_Label,Diffusivity_theoretical,Diffusivity_with_noise
549.42,46.916,136.81,TiFeH2,1,2.8784750427413625e-12,2.8136467804119325e-12
395.34,13.91,82.84,TiFeH2,1,1.3696200039692348e-13,1.3272493545371555e-13
606.15,22.095,85.42,LaNi5H6,2,1.1126371319081193e-10,1.1680096495091658e-10
446.56,39.592,196.36,MgH2,0,7.151912296113066e-15,7.068089537617711e-15
610.66,41.511,115.46,TiFeH2,1,6.175213827069591e-12,6.334357619966054e-12
502.53,22.564,97.61,MgH2,0,4.461083449790516e-14,4.246245980000286e-14
313.15,5.158,57.5,LaNi5H6,2,5.763795353324539e-13,5.837153736624163e-13
669.34,2.091,136.23,TiFeH2,1,9.637194397861251e-12,1.0398939663009201e-11
553.17,23.301,134.01,MgH2,0,1.7350679334577417e-13,1.7026634497723452e-13
358.47,14.466,191.06,MgH2,0,1.1078271990543213e-16,1.1138531437179856e-16
365.75,2.765,100.07,LaNi5H6,2,2.6256034048738822e-12,2.544209371438303e-12
454.04,39.807,31.98,MgH2,0,9.512268240091482e-15,9.543511863314188e-15
525.19,23.718,34.65,LaNi5H6,2,4.746670494686115e-11,4.855029224959014e-11
501.2,5.417,100.14,LaNi5H6,2,3.262900505143047e-11,3.295510833228822e-11
375.14,32.494,167.34,LaNi5H6,2,3.686517754868894e-12,3.719775439795644e-12
322.16,7.704,176.27,MgH2,0,1.0188527776332404e-17,1e-16
633.38,14.943,55.64,MgH2,0,9.339630517286654e-13,9.750718440792044e-13
493.4,10.299,181.99,LaNi5H6,2,3.013880204905318e-11,2.973873391595462e-11
444.73,22.139,62.84,MgH2,0,6.487972831958417e-15,6.68248284121092e-15
587.48,3.981,182.41,LaNi5H6,2,8.608037493396446e-11,8.59551695640412e-11
353.02,4.029,84.62,LaNi5H6,2,1.9182283382262975e-12,1.849639323032767e-12
687.0,38.833,115.17,MgH2,0,2.4793303244803027e-12,2.625150992122243e-12
591.91,13.903,94.6,TiFeH2,1,4.701584065273788e-12,4.691609806297244e-12
657.08,47.054,192.78,LaNi5H6,2,1.761904839996189e-10,1.7612689727733474e-10
679.54,47.812,178.12,MgH2,0,2.220781094063336e-12,2.2427630652460884e-12
611.79,33.019,173.51,MgH2,0,6.44004880104859e-13,6.275101269314342e-13
424.13,31.398,63.37,MgH2,0,2.938225418082078e-15,3.014207931837347e-15
348.04,44.091,124.75,TiFeH2,1,3.4096461079515905e-14,3.514106306065273e-14
656.67,42.663,111.06,MgH2,0,1.5107881546113528e-12,1.5306848280267945e-12
345.78,43.912,108.72,LaNi5H6,2,1.7450248098592803e-12,1.742810125983091e-12
364.51,29.05,40.95,MgH2,0,1.6502958656285362e-16,1.6108416983012278e-16
569.68,38.048,24.28,TiFeH2,1,3.758330807250498e-12,3.800015122349076e-12
307.38,29.108,84.76,TiFeH2,1,6.752469369335322e-15,6.8044279961729285e-15
419.97,9.647,185.68,LaNi5H6,2,9.108926837379107e-12,9.040644793578076e-12
348.73,36.888,147.97,MgH2,0,6.596956591428045e-17,1e-16
675.03,40.41,15.79,LaNi5H6,2,2.01683874387925e-10,1.9751838367565533e-10
691.83,37.374,51.58,MgH2,0,2.678095125368903e-12,2.7554621258831567e-12
419.8,22.113,117.83,LaNi5H6,2,9.43767315209844e-12,9.363385980901408e-12
693.67,7.407,139.77,TiFeH2,1,1.288777606815463e-11,1.2916928040985857e-11
521.21,11.299,137.12,LaNi5H6,2,4.3613688318678014e-11,4.0662992601342385e-11
576.16,21.643,71.27,TiFeH2,1,3.963261818696061e-12,4.031831205590892e-12
615.12,26.439,97.89,TiFeH2,1,6.352399295346644e-12,6.502226845752429e-12
620.76,20.077,60.36,LaNi5H6,2,1.2637874857049182e-10,1.245406945366248e-10
410.01,3.116,16.11,TiFeH2,1,1.8546249875715306e-13,1.8817109628302206e-13
448.32,33.619,10.76,MgH2,0,7.644055415235083e-15,7.624597350253985e-15
435.48,12.783,32.57,LaNi5H6,2,1.2329286862206038e-11,1.2459655199286312e-11
639.35,25.618,167.21,TiFeH2,1,8.198185352375229e-12,7.98777241933109e-12
378.57,49.108,198.74,MgH2,0,3.611765654805412e-16,3.423967301458423e-16
345.81,32.184,108.23,MgH2,0,5.4730990416666486e-17,1e-16
620.54,22.137,83.2,LaNi5H6,2,1.2658133873080412e-10,1.3173896175830923e-10
321.75,4.018,31.56,LaNi5H6,2,7.602035179557358e-13,7.740131896924075e-13
457.45,20.226,71.22,MgH2,0,1.0279612496381109e-14,1.0625266723379586e-14
623.13,28.472,189.91,LaNi5H6,2,1.3046790849158584e-10,1.308598715817535e-10
541.72,41.167,199.34,LaNi5H6,2,5.880925468791421e-11,6.084936178297885e-11
697.41,49.349,85.35,TiFeH2,1,1.4697805181062674e-11,1.4550479937677347e-11
365.27,41.073,66.06,LaNi5H6,2,2.9300159269624595e-12,2.8582004761882473e-12
402.38,29.129,116.35,LaNi5H6,2,6.747129693788307e-12,6.5418680029021405e-12
420.38,39.09,179.57,MgH2,0,2.528652498242e-15,2.395739045249231e-15
435.89,18.601,150.57,TiFeH2,1,3.734479526691942e-13,3.809365291521325e-13
381.12,15.086,53.02,TiFeH2,1,9.25543423730244e-14,9.234395299779322e-14
589.93,38.44,198.27,TiFeH2,1,4.812400524630169e-12,4.6480580004893476e-12
493.75,45.587,184.87,LaNi5H6,2,3.2299157555537335e-11,3.267565431470053e-11
398.59,8.471,81.37,LaNi5H6,2,5.908456989575972e-12,5.956024615730178e-12
328.5,1.536,197.81,TiFeH2,1,1.3836076038705464e-14,1.3558103143889988e-14
315.46,19.312,186.98,TiFeH2,1,9.356450493396e-15,9.449512097106448e-15
325.59,41.786,60.9,LaNi5H6,2,9.53291661301905e-13,9.494264371045387e-13
346.44,26.065,112.19,LaNi5H6,2,1.7386161406955335e-12,1.7396242298179192e-12
366.21,36.164,195.46,MgH2,0,1.8233036667041554e-16,1.8640817933978837e-16
338.08,43.937,91.43,TiFeH2,1,2.3895128042297653e-14,2.3476464371363725e-14
465.03,26.217,157.85,MgH2,0,1.3560862733320513e-14,1.446797535632458e-14
350.89,44.513,55.37,TiFeH2,1,3.773293669450334e-14,3.754003499024595e-14
384.71,20.244,151.88,TiFeH2,1,1.0375911264071057e-13,1.0201456250516636e-13
507.69,36.031,19.87,LaNi5H6,2,3.875622246224358e-11,3.848153816268597e-11
381.07,26.716,184.57,LaNi5H6,2,4.20150061374323e-12,4.228688362106493e-12
436.91,31.76,12.68,LaNi5H6,2,1.3163433843791316e-11,1.3100402320105132e-11
633.77,11.125,163.18,LaNi5H6,2,1.3721408187326239e-10,1.283540348661122e-10
637.43,45.544,121.33,MgH2,0,1.0759908415551316e-12,1.1336204287985033e-12
525.41,10.454,128.97,TiFeH2,1,1.880312930145215e-12,1.916012644901138e-12
369.92,18.887,153.28,TiFeH2,1,6.675976761587188e-14,6.999624594912363e-14
366.79,16.535,98.85,MgH2,0,1.8013450399392862e-16,1.7036564667772042e-16
467.65,41.307,146.76,MgH2,0,1.527195413714578e-14,1.6125190988738494e-14
595.01,45.02,118.53,TiFeH2,1,5.170821270838049e-12,5.21804672114698e-12
644.29,19.841,148.29,MgH2,0,1.154765020695447e-12,1.1149226657117555e-12
535.06,16.237,149.67,MgH2,0,1.073034018056753e-13,1.0044929650681654e-13
669.72,46.845,115.77,LaNi5H6,2,1.944867793708723e-10,2.0055041199549075e-10
464.9,20.02,136.27,TiFeH2,1,6.852046299107032e-13,6.895324098461488e-13
355.31,11.856,25.35,LaNi5H6,2,2.1469629835967157e-12,2.256056586250201e-12
612.12,23.268,26.34,MgH2,0,6.396537124330158e-13,6.054820401917983e-13
376.29,10.039,112.63,LaNi5H6,2,3.605197137935841e-12,3.815534675530138e-12
597.6,5.623,194.29,TiFeH2,1,4.77577884675509e-12,4.7755039911296046e-12
562.42,13.926,80.54,LaNi5H6,2,7.079871651729968e-11,7.16954247301145e-11
588.18,30.413,155.31,LaNi5H6,2,9.499619338511887e-11,9.673747919514627e-11
380.96,3.497,108.13,MgH2,0,3.4463653977210666e-16,3.3322229507484007e-16
451.33,22.613,112.11,TiFeH2,1,5.255627737130647e-13,5.193563376754966e-13
417.44,21.967,84.98,MgH2,0,2.1640780840327203e-15,2.2469826710134098e-15
555.49,5.633,185.41,LaNi5H6,2,6.288019979186632e-11,6.346977695889104e-11
613.09,9.129,180.26,MgH2,0,6.075513842461967e-13,6.187474098999573e-13
512.65,49.719,42.86,TiFeH2,1,1.6722988282430692e-12,1.6875234485224574e-12
428.34,11.597,165.39,TiFeH2,1,3.0718467547149515e-13,3.019621087685341e-13
653.25,36.512,172.63,LaNi5H6,2,1.692559447690957e-10,1.7117511740979987e-10
606.0,15.766,118.29,MgH2,0,5.484999217941598e-13,5.3901119195337e-13
496.28,28.243,170.83,MgH2,0,3.737610162382278e-14,3.4594525222774856e-14
497.63,2.597,107.33,TiFeH2,1,1.1150309491447068e-12,1.0925570184563069e-12
674.45,31.337,98.29,MgH2,0,2.0009114611075907e-12,1.9852503377262905e-12
335.08,7.772,41.92,MgH2,0,2.5097730725459494e-17,1e-16
333.09,41.979,29.08,MgH2,0,2.4536344668079146e-17,1e-16
427.67,12.959,135.16,LaNi5H6,2,1.0679309388652099e-11,1.0530521463612603e-11
308.18,35.606,191.68,LaNi5H6,2,5.257520942973496e-13,5.538436352964724e-13
414.58,48.918,135.4,MgH2,0,2.0054560571144292e-15,2.0256951761178666e-15
563.39,6.304,114.24,TiFeH2,1,3.1432082828193764e-12,3.137454575524931e-12
413.89,40.564,85.94,MgH2,0,1.9296163831015887e-15,1.9139327623437213e-15
456.18,11.786,67.62,LaNi5H6,2,1.7431060490261683e-11,1.7105154122383304e-11
614.76,18.704,192.23,TiFeH2,1,6.193851348826446e-12,5.8845880660737605e-12
525.98,12.882,28.26,MgH2,0,8.368928495312355e-14,8.189445970427505e-14
563.6,27.379,73.55,LaNi5H6,2,7.385077938274941e-11,7.321070164867255e-11
496.73,23.17,192.32,TiFeH2,1,1.2302749661999979e-12,1.302280874016612e-12
475.92,31.01,94.98,TiFeH2,1,8.652740424355328e-13,8.844735529150384e-13
593.66,7.556,59.35,TiFeH2,1,4.6558191721861264e-12,4.5626910304421925e-12
688.94,14.52,59.85,TiFeH2,1,1.2847760244676022e-11,1.2381232865025598e-11
487.06,48.519,185.97,TiFeH2,1,1.0789218767905906e-12,1.138185575916881e-12
409.99,45.438,129.1,LaNi5H6,2,8.028467495554362e-12,7.69355697928734e-12
646.97,25.723,74.33,TiFeH2,1,8.893641191258413e-12,8.382550713720579e-12
663.92,30.295,66.12,TiFeH2,1,1.0590541082767462e-11,1.0964869535373104e-11
488.99,18.962,169.81,TiFeH2,1,1.0659407838305863e-12,1.0901915666116938e-12
607.7,19.049,166.36,TiFeH2,1,5.731440677196129e-12,5.596592743613119e-12
314.92,16.565,167.36,LaNi5H6,2,6.433439490480794e-13,6.39490991254766e-13
340.67,27.502,96.73,MgH2,0,3.91598210089966e-17,1e-16
567.93,31.871,107.77,MgH2,0,2.516217041126406e-13,2.508487470982504e-13
597.9,46.462,126.05,MgH2,0,4.96986618520385e-13,5.258187030739978e-13
393.06,3.399,134.55,MgH2,0,6.271447147185451e-16,6.319594335736391e-16
556.9,17.897,121.37,TiFeH2,1,3.0425832360365475e-12,3.1309147872036136e-12
683.42,26.729,188.89,MgH2,0,2.278129743718182e-12,2.281784886262344e-12
368.87,27.698,159.69,LaNi5H6,2,3.1435845946494958e-12,3.0807742830727303e-12
313.44,9.379,62.1,LaNi5H6,2,5.982876001786572e-13,5.959121769194448e-13
578.95,6.419,122.83,MgH2,0,2.9038476190467396e-13,3.060807140999805e-13
489.03,43.1,146.33,LaNi5H6,2,3.0202973444238124e-11,3.052776979621327e-11
329.63,36.185,126.7,TiFeH2,1,1.717823142706482e-14,1.7110153470899824e-14
576.75,21.777,74.65,LaNi5H6,2,8.379631061444138e-11,7.702388620999304e-11
400.17,3.877,30.13,TiFeH2,1,1.457734821331542e-13,1.404816736092247e-13
331.73,11.421,193.7,LaNi5H6,2,1.0869503137554105e-12,1.114469908892291e-12
577.17,3.199,112.44,TiFeH2,1,3.6195613366069737e-12,3.6800025814789006e-12
535.31,7.98,26.03,LaNi5H6,2,5.1074809678770176e-11,5.184994918048445e-11
415.77,22.802,19.32,TiFeH2,1,2.3768249202387185e-13,2.4042607441704307e-13
317.76,12.648,78.27,LaNi5H6,2,7.012372219813727e-13,7.245286610298268e-13
591.93,38.428,153.66,TiFeH2,1,4.938476664423612e-12,4.869762634726709e-12
620.29,4.52,183.9,LaNi5H6,2,1.172590062679054e-10,1.1761395468017293e-10
663.43,37.099,99.0,MgH2,0,1.68278670043719e-12,1.6802847918555623e-12
485.57,43.733,133.23,TiFeH2,1,1.047527938192793e-12,1.056556291149901e-12
684.25,7.073,165.7,TiFeH2,1,1.1812930029597386e-11,1.2009377876338252e-11
651.59,47.996,146.42,LaNi5H6,2,1.691113825428162e-10,1.7447813954702035e-10
578.22,41.94,181.45,LaNi5H6,2,8.718494463937833e-11,9.509379119583218e-11
549.08,6.194,102.37,LaNi5H6,2,5.898180593723644e-11,5.923924921720006e-11
328.71,44.611,40.69,LaNi5H6,2,1.0552308831074448e-12,1.0410528090310536e-12
662.88,9.732,126.74,LaNi5H6,2,1.7243192299983893e-10,1.6984433269958588e-10
522.08,5.156,79.6,MgH2,0,7.04821032160489e-14,7.360599753447807e-14
390.31,30.999,41.05,LaNi5H6,2,5.234776780723738e-12,5.325131226325667e-12
619.38,2.785,105.19,TiFeH2,1,5.905513567226175e-12,5.926536753153636e-12
627.92,44.037,87.25,LaNi5H6,2,1.3892525841082814e-10,1.3646677591829306e-10
628.71,10.259,110.5,LaNi5H6,2,1.3120058495666147e-10,1.3442052319985636e-10
523.68,32.812,174.46,MgH2,0,8.280133940124318e-14,8.143622860821214e-14
421.58,47.089,161.64,MgH2,0,2.6931745084777547e-15,2.6024601688562815e-15
339.97,21.368,113.77,LaNi5H6,2,1.432679216442422e-12,1.3565521656416335e-12
532.45,33.051,123.94,MgH2,0,1.0503416685664152e-13,1.0618282414702512e-13
557.55,5.432,198.69,MgH2,0,1.7426488637125965e-13,1.7028132459940246e-13
618.09,25.235,50.23,TiFeH2,1,6.562313050222873e-12,6.541142947422777e-12
616.81,22.61,70.82,LaNi5H6,2,1.2265171892962345e-10,1.2559136024494755e-10
556.99,15.67,41.86,MgH2,0,1.865396580755238e-13,1.8911225982543716e-13
634.05,21.303,102.55,TiFeH2,1,7.706922634780034e-12,7.332580797045938e-12
545.89,41.704,134.03,TiFeH2,1,2.7241441899579455e-12,2.88867539894141e-12
300.99,33.502,22.4,LaNi5H6,2,4.0601910466691713e-13,4.243094761036736e-13
321.97,36.745,175.44,TiFeH2,1,1.2665155784612288e-14,1.2628724361701652e-14
493.16,8.75,121.87,LaNi5H6,2,2.987265031544631e-11,2.925011083689109e-11
584.56,10.708,35.97,TiFeH2,1,4.251236563692223e-12,4.251763659547898e-12
